apellido_paterno,apellido_materno,nombre,fecha_nacimiento,sexo,producto,saldo,telefono,estado,municipio,colonia,calle,numero
VELASCO,SUAREZ,AYLIN,1966-04-29,MUJER,credito hipotecario,849731,8964924668,Campeche,Tenango del Aire,La Fundición,Villa Teresa,50
DURAN,BACA,JULIAN,1961-07-08,HOMBRE,credito nomina,1963,3230210426,Nuevo León,Tenango del Valle,Fundición II,Cartagena 1947,94
SALINAS,JARA,ANA LUCIA,1993-06-19,MUJER,prestamo personal,5588,4134330010,Morelos,Teoloyucan,Los Sauces,Villas de La Convención,38
TAPIA,MORAN,AARON,1964-10-03,HOMBRE,debito,1710,6142500414,Morelos,Teotihuacán,Línea de Fuego,Lomas de La Asunción,SN
OCHOA,LICONA,MONSERRAT,1960-05-08,MUJER,credito nomina,3409,6832540611,Morelos,Tepetlaoxtoc,Buenos Aires,Villa de Nuestra Señora de La Asunción Sector Encino,SN
SANTIZ,RIVERO,LUIS FERNANDO,1967-03-19,HOMBRE,credito refaccionario,52091,1636714378,Tamaulipas,Tepetlixpa,Circunvalación Norte,Villa de Nuestra Señora de La Asunción Sector Alameda,34
ZAMORA,PIÑON,ANGELA,1959-12-08,MUJER,credito avio,108225,8278918554,Morelos,Tepotzotlán,Las Arboledas,San José de Pozo Bravo,70
OLVERA,CORNEJO,IKER,1988-08-05,HOMBRE,credito nomina,1799,7198043978,Coahuila,Tequixquiac,Villas de San Francisco,Villa de Nuestra Señora de La Asunción Sector San Marcos,76
ARELLANO,SEGURA,ABRIL,1997-10-22,MUJER,debito,2651,5808216724,Tamaulipas,Texcaltitlán,Villas de La Universidad,Villa de Nuestra Señora de La Asunción Sector Estación,92
ESPINOSA,PINTO,MIGUEL,1998-12-13,HOMBRE,credito hipotecario,234970,2171916838,San Luis Potosí,Texcalyacac,El Sol,Las Plazas,84
ARIAS,OLIVARES,MIA,1972-05-11,MUJER,credito,17716,1464587131,Puebla,Texcoco,Gremial,El Rosedal,50
CALDERON,BALBUENA,ANDRES,1999-10-20,HOMBRE,credito departamental,3920,5374430285,Quintana Roo,Tezoyuca,Industrial,Natura,81
SUAREZ,NUÑEZ,DULCE MARIA,1989-03-24,MUJER,credito hipotecario,781528,0576026893,Guerrero,Tianguistenco,Altavista,Montebello Della Stanza,2
ALONSO,CARRASCO,LIAM,1982-06-16,HOMBRE,credito,16877,3643200850,Morelos,Timilpan,Curtidores,Villa Notre Dame,53
MARIN,ULLOA,LIA,1988-05-29,MUJER,credito nomina,1703,9618356425,Coahuila,Tlalmanalco,La Concordia,Privada Guadalupe,28
GALLEGOS,LUGO,URIEL,1960-10-10,HOMBRE,credito avio,200994,6378265192,Hidalgo,Tlalnepantla de Baz,Miravalle,Rinconada Pozo Bravo,21
VILLEGAS,BAZAN,ELISA,1992-06-21,MUJER,credito refaccionario,62188,8603904826,Sinaloa,Tlatlaya,Panorama,Pozo Bravo Sur,38
MONTES,BENITEZ,MANUEL,1966-07-25,HOMBRE,credito refaccionario,97210,2896258341,Chiapas,Toluca,Residencial Guadalupe,Villa Loma Dorada,34
BARRERA,NAVARRETE,EMILIA,1998-11-29,MUJER,credito departamental,5553,6578841914,Tamaulipas,Tonatico,Colinas del Poniente,Jardines de Montebello,SN
ZAVALA,JAIMES,JUAN DIEGO,1964-12-01,HOMBRE,credito departamental,7325,7864604391,Baja California,Tultepec,Bugambilias,Villas del Río,86
VASQUEZ,CARRANZA,MELANY,1972-04-04,MUJER,credito avio,139065,2068617131,Campeche,Tultitlán,Del Carmen,El Puertecito,33
ESQUIVEL,AMBROCIO,ISMAEL,1968-01-24,HOMBRE,credito,17895,3436066466,Ciudad de Mexico,Valle de Bravo,La Fe,Rinconada del Puertecito,SN
VILLANUEVA,OLAN,DAYANA,1961-07-21,MUJER,credito hipotecario,490793,0910909848,Tlaxcala,Villa de Allende,México,Bosques del Prado Norte,26
BELTRAN,MUNGUIA,JUAN,1963-12-06,HOMBRE,credito departamental,4720,2592297732,Baja California Sur,Villa del Carbón,Primavera,Sartenejo,36
FRANCO,MANUEL,NICOLE,1967-10-23,MUJER,credito departamental,3652,8135413414,Hidalgo,Villa Guerrero,San Pablo,Lomas del Campestre 1a Sección,97
GALVAN,VERA,JOSE MARIA,1965-06-02,HOMBRE,credito refaccionario,86974,0877083339,San Luis Potosí,Villa Victoria,Guadalupe,Bosques del Prado Sur,SN
LOZANO,VILLARREAL,ARIANA,1960-09-17,MUJER,credito nomina,4166,3131301771,Aguascalientes,Xonacatlán,Heliodoro Garcia,El Roble,SN
ANDRADE,VALERIO,IVAN,1977-06-13,HOMBRE,credito,22530,5190710924,Guanajuato,Zacazonapan,Gómez,Fátima,SN
PONCE,SAAVEDRA,SAMARA,1967-09-17,MUJER,credito departamental,4435,4466694313,San Luis Potosí,Zacualpan,Moderno,Independencia de México,57
TRUJILLO,ULLOA,ABRAHAM,1962-02-09,HOMBRE,credito nomina,2556,7535479458,México,Zinacantepec,Valle del Rio San Pedro,Nueva Rinconada,12
ROCHA,ESPARZA,GABRIELA,1989-09-17,MUJER,credito refaccionario,60763,4802821490,Querétaro,Zumpahuacán,Guadalupe Posada,Primo Verdad,5
CORTEZ,SEGURA,PEDRO,1981-10-24,HOMBRE,credito departamental,8001,2415224545,Campeche,Zumpango,San Marcos,San José del Arenal,SN
GALINDO,ALEGRIA,ZOE,1973-09-17,MUJER,credito refaccionario,60531,5911043377,México,Cuautitlán Izcalli,San Marcos,Unidad Ganadera,SN
SOSA,NIETO,JUAN JOSE,1983-12-22,HOMBRE,debito,11857,6655249108,Quintana Roo,Valle de Chalco Solidaridad,San Marcos,San Xavier,22
FIGUEROA,ALAMILLA,ALLISON,1993-05-01,MUJER,credito departamental,4663,5492212798,Tamaulipas,Luvianos,Modelo,Residencial del Real,20
PALACIOS,BLANCO,PABLO,1998-04-26,HOMBRE,credito nomina,3538,7660177351,Nayarit,San José del Rincón,Residencial del Valle I,Puerta Navarra,7
CANO,QUINTANA,ELENA,2002-03-07,MUJER,debito,6187,8445291388,Jalisco,Tonanitla,Residencial del Valle II,Residencial Campestre Club de Golf,70
VILLA,FONSECA,ERICK,1968-03-07,HOMBRE,credito hipotecario,442153,1868562132,Hidalgo,Acuitzio,La Herradura,Palma Real,61
CORONA,MANCILLA,REBECA,1960-11-05,MUJER,credito,15265,4247380045,Nuevo León,Aguililla,Club Campestre,Muralia,58
RUBIO,VELA,IAN,1959-08-24,HOMBRE,credito nomina,1218,9145525519,Tlaxcala,Álvaro Obregón,Jardines del Campestre,Agropecuario,67
BRAVO,GUZMAN,SARA,1995-03-21,MUJER,credito,17931,6212037916,Hidalgo,Angamacutiro,Los Vergeles,Centro Distribuidor de Básicos,43
PINEDA,SEVILLA,OLIVER,1998-06-25,HOMBRE,credito refaccionario,71122,9919503026,Aguascalientes,Angangueo,Ciudad Universitaria,La Rinconada,84
ESCOBAR,ZAMBRANO,FRIDA SOFIA,1996-05-16,MUJER,credito departamental,8543,8932305804,Ciudad de Mexico,Apatzingán,Rancho San Antonio,El Plateado,95
BERNAL,ESPINO,ROBERTO,1973-05-03,HOMBRE,credito hipotecario,467125,3782430077,Sonora,Aporo,Villas de Montenegro,Residencial Pulgas Pandas Norte,14
OSORIO,RESENDIZ,ALISSON,1995-06-08,MUJER,debito,4966,2910869880,Chihuahua,Aquila,Las Cavas,Residencial Pulgas Pandas Sur,27
BENITEZ,ARROYO,CARLOS DANIEL,1994-02-01,HOMBRE,credito nomina,3843,2175659134,México,Ario,La Enramada,Villas del Vergel,79
CARMONA,SAMANIEGO,DIANA,1976-12-09,MUJER,credito refaccionario,90599,0192471467,Aguascalientes,Arteaga,Talamantes Ponce,Cerrada San Miguel,SN
RESENDIZ,OSUNA,GERARDO,1961-04-01,HOMBRE,debito,6245,9529845948,Guerrero,Briseñas,Granjas del Campestre,Las Hadas,35
CUEVAS,PAULINO,PAOLA,1971-04-05,MUJER,credito avio,129419,2226738204,Sonora,Buenavista,Puerto las Hadas,Morelos,87
MATA,VALENTE,ALONSO,1980-08-18,HOMBRE,debito,3091,0892991838,Jalisco,Carácuaro,Valle del Campestre,Andrea,SN
MONTOYA,GABRIEL,MICHELLE,1958-07-21,MUJER,debito,3891,5168861273,Sinaloa,Coahuayana,Trojes de Oriente,Los Arcos,16
CORDOVA,CANDELARIO,BRAYAN,1997-07-16,HOMBRE,credito nomina,2049,8206269716,Chiapas,Coalcomán de Vázquez Pallares,Valle de las Trojes,Industrial,64
DE LA ROSA,PALOMINO,MIA ISABELLA,1992-08-05,MUJER,prestamo personal,7128,0542668938,Michoacán,Coeneo,Villas de San Nicolás,La Estrella,46
ENRIQUEZ,ALFARO,JORGE,1999-10-24,HOMBRE,credito hipotecario,777487,7158279884,Michoacán,Contepec,San Telmo,Macias Arellano,SN
PARRA,JACOBO,ADRIANA,1965-03-10,MUJER,debito,1425,6032187897,Guerrero,Copándaro,La Paloma,Trento,SN
RIVAS,ORTIZ,ANGEL MATEO,1973-11-24,HOMBRE,credito avio,87429,4793899459,Hidalgo,Cotija,Barrio de Santiago,Nueva Andalucia Coto Residencial,SN
TELLEZ,GALAN,MARIA VICTORIA,1981-04-17,MUJER,credito refaccionario,69194,7736380523,Nayarit,Cuitzeo,Villa de las Trojes,Lomas del Cobano,60
FRANCISCO,BECERRIL,SAUL,1974-10-29,HOMBRE,credito,19412,0965681106,Durango,Charapan,Valle de Santa Teresa,Buenavista,1
TOVAR,MAURICIO,MARISOL,1985-11-05,MUJER,credito nomina,1556,1704588698,Querétaro,Charo,La Troje,C.T.M.,43
BECERRA,VERDUGO,ISRAEL,1976-09-05,HOMBRE,credito nomina,3401,4558316041,Michoacán,Chavinda,Trojes de Alonso,La Higuerilla,SN
LEYVA,ALMANZA,ALEXANDRA,1968-08-14,MUJER,credito avio,230709,9372799323,Nuevo León,Cherán,San Telmo Residencial,Parras,SN
CISNEROS,PADILLA,MARCO ANTONIO,1997-01-27,HOMBRE,credito,22676,4818940638,Sonora,Chilchota,Santa Fe,El Cobano,65
